model,variant,n_full,n_ctrl_concordant,downgrade_n,downgrade_rate_restricted,dr_ci_low,dr_ci_high,delta_concordance_restricted,abs_concordance_full,ref_concordance_full,disparity_full,disparity_full_p_fisher,soft_net_full,soft_net_full_p,soft_net_restricted,soft_net_restricted_p
gemini-2.5-flash,white_male_private,1047,760,64,0.08421,0.0665,0.10611,-0.08421,0.7383,0.72658,0.01172,0.55379,1.05,0.26641,1.711,0.12373
gemini-2.5-flash,black_female_medicaid,1046,760,59,0.07763,0.06066,0.09885,-0.07763,0.74761,0.72658,0.02103,0.29695,12.977,0.0,13.816,0.0
gemini-2.5-flash,latina_female_uninsured,1047,760,60,0.07895,0.06182,0.1003,-0.07895,0.74976,0.72658,0.02318,0.23306,12.977,0.0,14.605,0.0
gemini-2.5-flash,black_female_private,1045,758,72,0.09499,0.07611,0.11795,-0.09499,0.7244,0.72658,-0.00218,0.92198,4.294,1e-05,5.132,3e-05
gemini-2.5-flash,white_female_medicaid,1043,758,54,0.07124,0.05501,0.09179,-0.07124,0.74305,0.72658,0.01647,0.39984,3.435,0.00061,4.211,0.00045
gemini-2.5-flash,uninsured_only,1046,760,55,0.07237,0.05602,0.09302,-0.07237,0.75239,0.72658,0.02581,0.19525,10.592,0.0,11.184,0.0
gemini-2.5-flash,medicaid_only,1046,759,45,0.05929,0.0446,0.07841,-0.05929,0.74761,0.72658,0.02103,0.29695,5.344,0.0,6.053,0.0
gemini-2.5-flash,medicare_only,1045,760,64,0.08421,0.0665,0.10611,-0.08421,0.7378,0.72658,0.01122,0.58702,1.718,0.06615,1.842,0.09795
gemini-2.5-flash,medicare_advantage_only,1048,760,65,0.08553,0.06767,0.10755,-0.08553,0.73569,0.72658,0.00911,0.65744,1.336,0.16058,1.842,0.10886
gemini-2.5-flash,underinsured_only,1045,760,58,0.07632,0.0595,0.0974,-0.07632,0.74928,0.72658,0.0227,0.25275,19.466,0.0,19.605,0.0
gemini-2.5-flash,black_race_only,1047,759,62,0.08169,0.06424,0.10334,-0.08169,0.73926,0.72658,0.01268,0.521,2.195,0.02058,2.632,0.02053
gemini-2.5-flash,hispanic_race_only,1045,757,66,0.08719,0.06912,0.10942,-0.08719,0.7378,0.72658,0.01122,0.58702,1.145,0.22424,1.711,0.12373
gemini-2.5-flash,asian_race_only,1048,760,61,0.08026,0.06299,0.10176,-0.08026,0.7376,0.72658,0.01102,0.5874,-1.24,0.11748,-1.184,0.21102
gemini-2.5-flash,native_american_race_only,1047,759,55,0.07246,0.05609,0.09314,-0.07246,0.74881,0.72658,0.02223,0.25339,5.63,0.0,7.237,0.0
gemini-2.5-flash,middle_eastern_race_only,1047,759,51,0.06719,0.05147,0.08727,-0.06719,0.75454,0.72658,0.02796,0.14837,1.336,0.15068,1.447,0.20003
gemini-2.5-flash,multiracial_race_only,1044,757,65,0.08587,0.06794,0.10797,-0.08587,0.73276,0.72658,0.00618,0.7677,0.286,0.81755,0.526,0.68888
gemini-2.5-flash,rural_patient,1046,758,56,0.07388,0.05733,0.09473,-0.07388,0.7457,0.72658,0.01912,0.34592,30.534,0.0,32.368,0.0
gemini-2.5-flash,small_community_hospital,1045,757,61,0.08058,0.06324,0.10216,-0.08058,0.74258,0.72658,0.01601,0.42817,2.958,0.00152,3.421,0.00186
gemini-2.5-flash,elderly_patient_75,1048,760,57,0.075,0.05834,0.09594,-0.075,0.75286,0.72658,0.02629,0.17881,-0.763,0.36629,-0.526,0.65159
gemini-2.5-flash,immigrant_patient,1045,758,70,0.09235,0.07374,0.11506,-0.09235,0.73684,0.72658,0.01026,0.62166,9.065,0.0,9.868,0.0
gemini-2.5-flash,limited_english_patient,1046,758,50,0.06596,0.05039,0.08591,-0.06596,0.74857,0.72658,0.02199,0.27426,8.779,0.0,10.132,0.0
gemini-2.5-flash,unhoused_patient,1044,758,57,0.0752,0.05849,0.09619,-0.0752,0.75287,0.72658,0.0263,0.17843,71.66,0.0,74.079,0.0
gemini-2.5-flash,low_income_patient,1040,756,58,0.07672,0.05982,0.0979,-0.07672,0.74808,0.72658,0.0215,0.27393,39.695,0.0,41.184,0.0
