biomarker_node,scorer_primary,scorer_acceptable,nccn_v6.2026_firstline_preferred,nccn_page,verdict,note
EGFR exon19del / L858R,osimertinib,osimertinib; osi+carbo/pem; amivantamab+lazertinib,Osimertinib (cat1); (carbo/cis)+osi+pem (cat1); lazertinib+amivantamab (cat1),NSCL-21,FULL,"All 3 preferred captured. NCCN also lists afatinib/dacomitinib/erlotinib/gefitinib as 'useful in certain circumstances' (cat1) — scorer omits, acceptable since not preferred."
EGFR atypical (S768I/L861Q/G719X),osimertinib,osimertinib; osi+carbo/pem; amivantamab+lazertinib,Afatinib OR Osimertinib (preferred); dacomitinib/erlotinib/gefitinib (other rec),NSCL-24,WRONG,"Scorer collapses atypical EGFR into the exon19/L858R node via 'other_sensitising' and returns FLAURA2 + MARIPOSA — neither is indicated for atypical mutations (NSCL-24 has a SEPARATE pathway: afatinib/osimertinib preferred; NO amivantamab+lazertinib, NO osi+chemo). Overstates acceptable options."
EGFR exon20ins,amivantamab + carboplatin + pemetrexed,amivantamab+carbo/pem,"Carbo/Pem + Amivantamab (cat1, preferred)",NSCL-25,FULL,Matches preferred. (Subsequent-line sunvozertinib not in scope.)
ALK fusion,alectinib,alectinib; brigatinib; lorlatinib,Alectinib; Brigatinib; ENSARTINIB; Lorlatinib (all cat1 preferred); ceritinib/crizotinib (cat1 UCC),NSCL-27,PARTIAL,"ENSARTINIB (cat1 preferred, added by v6.2026) is MISSING from scorer's acceptable set. Ceritinib also absent (UCC, lower priority — tolerable)."
ROS1 fusion,entrectinib,entrectinib; taletrectinib; crizotinib,Crizotinib; Entrectinib; REPOTRECTINIB; Taletrectinib (all preferred),NSCL-30,PARTIAL,"REPOTRECTINIB (preferred first-line in v6.2026) is MISSING. Scorer keeps crizotinib as acceptable (correct — still preferred here, unlike the reference doc's demotion)."
BRAF V600E,dabrafenib + trametinib,dabrafenib+trametinib,Dabrafenib/Trametinib OR BINIMETINIB/ENCORAFENIB (both preferred),NSCL-32,PARTIAL,"BINIMETINIB/ENCORAFENIB (co-preferred cat, added v6.2026) is MISSING. Scorer's single answer marked non-ambiguous — should be ambiguous with 2 preferred combos."
MET exon14 skipping,capmatinib,capmatinib; tepotinib,Capmatinib; Tepotinib (preferred); crizotinib (UCC),NSCL-34,FULL,Both preferred captured. Crizotinib (UCC) omitted — acceptable.
RET fusion,selpercatinib,selpercatinib; pralsetinib,Pralsetinib; Selpercatinib (cat1) (preferred),NSCL-35,FULL,Both preferred captured.
NTRK1/2/3 fusion,larotrectinib,larotrectinib; entrectinib,Entrectinib; Larotrectinib; REPOTRECTINIB (all preferred),NSCL-33,PARTIAL,"REPOTRECTINIB (preferred, added v6.2026) is MISSING from scorer's 2-agent set."
KRAS G12C,(no node — falls to PD-L1),routed to PD-L1/chemo-IO branch,First-line: PD-L1-directed systemic therapy (no first-line KRAS TKI); sotorasib/adagrasib are SUBSEQUENT-line,NSCL-26,OK-BY-COINCIDENCE,"Scorer has NO KRAS G12C node, so a KRAS case is scored by PD-L1/histology. That happens to match NCCN (KRAS TKIs are 2nd-line only), but it is unhandled by design, not by logic — flag as a silent gap. Note biomarker testing for KRAS G12C added v6.2026."
ERBB2 / HER2 mutation,(no node),unhandled → PD-L1/chemo-IO or NOT_IMPLEMENTED,"Fam-trastuzumab deruxtecan; ZONGERTINIB; SEVABERTINIB (preferred, NSCL-36)",NSCL-36,MISSING,Entire ERBB2/HER2 pathway absent from scorer. Present as a distinct biomarker node in v6.2026.
NRG1 fusion,(no node),unhandled,Zenocutuzumab-zbco (NSCL-37),NSCL-37,MISSING,NRG1 pathway absent from scorer (rare; added recent NCCN).
"PD-L1 ≥50%, driver-neg",pembrolizumab,pembro; cemiplimab; atezolizumab; nivo+ipi; carbo/pem/pembro,First-line PD-L1-directed IO/chemo-IO (pembro mono cat1 preferred),NSCL-28/38,FULL,Preferred pembro-mono captured plus reasonable cat1 alternatives.
"PD-L1 <50%, non-squamous",carboplatin + pemetrexed + pembrolizumab,carbo/pem/pembro; carbo/pem/atezo/bev; nivo+ipi,Chemo-IO (KEYNOTE-189) first-line,NSCL-30/39,FULL,Matches KEYNOTE-189 standard.
